"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Age_Group","Ethnicity","Ethnicity_type","Sex","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black African","ONS 2011 18+1","Female","0.778434529","% of Total Age Group Population","48.423095","% of Total Ethnic Group Population","40181","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black African","ONS 2011 18+1","Male","0.763212796","% of Total Age Group Population","49.81745888","% of Total Ethnic Group Population","41346","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black Caribbean","ONS 2011 18+1","All","1.778094838","% of Total Age Group Population","44.08258439","% of Total Ethnic Group Population","188107","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black Caribbean","ONS 2011 18+1","Female","1.80077764","% of Total Age Group Population","43.21138022","% of Total Ethnic Group Population","92952","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Mixed White and Black Caribbean","ONS 2011 18+1","Male","1.756482214","% of Total Age Group Population","44.96821909","% of Total Ethnic Group Population","95155","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","All","1.131274286","% of Total Age Group Population","41.2708977","% of Total Ethnic Group Population","119679","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Female","1.134882027","% of Total Age Group Population","39.38495465","% of Total Ethnic Group Population","58580","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Male","1.127836759","% of Total Age Group Population","43.25684793","% of Total Ethnic Group Population","61099","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White","ONS 2011 5+1","All","78.90939446","% of Total Age Group Population","17.31597959","% of Total Ethnic Group Population","8347929","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White","ONS 2011 5+1","Female","78.80519667","% of Total Age Group Population","16.55002057","% of Total Ethnic Group Population","4067743","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White","ONS 2011 5+1","Male","79.00867618","% of Total Age Group Population","18.11265225","% of Total Ethnic Group Population","4280186","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White British","ONS 2011 18+1","All","74.84638626","% of Total Age Group Population","17.54326595","% of Total Ethnic Group Population","7918098","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White British","ONS 2011 18+1","Female","74.73971138","% of Total Age Group Population","16.7976328","% of Total Ethnic Group Population","3857892","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White British","ONS 2011 18+1","Male","74.94802821","% of Total Age Group Population","18.31577657","% of Total Ethnic Group Population","4060206","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White Irish","ONS 2011 18+1","All","0.286204955","% of Total Age Group Population","5.701137478","% of Total Ethnic Group Population","30278","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White Irish","ONS 2011 18+1","Female","0.285405975","% of Total Age Group Population","5.324947589","% of Total Ethnic Group Population","14732","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","White Irish","ONS 2011 18+1","Male","0.286966239","% of Total Age Group Population","6.110200568","% of Total Ethnic Group Population","15546","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Gypsy or Irish Traveller","ONS 2011 18+1","All","0.173757166","% of Total Age Group Population","31.86893204","% of Total Ethnic Group Population","18382","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Gypsy or Irish Traveller","ONS 2011 18+1","Female","0.174765633","% of Total Age Group Population","31.01705405","% of Total Ethnic Group Population","9021","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Gypsy or Irish Traveller","ONS 2011 18+1","Male","0.17279628","% of Total Age Group Population","32.7353476","% of Total Ethnic Group Population","9361","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other White Background","ONS 2011 18+1","All","3.603046072","% of Total Age Group Population","15.33306087","% of Total Ethnic Group Population","381171","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other White Background","ONS 2011 18+1","Female","3.605313681","% of Total Age Group Population","14.25105716","% of Total Ethnic Group Population","186098","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other White Background","ONS 2011 18+1","Male","3.600885449","% of Total Age Group Population","16.5303774","% of Total Ethnic Group Population","195073","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Other","ONS 2011 5+1","All","1.269962413","% of Total Age Group Population","23.83394596","% of Total Ethnic Group Population","134351","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Other","ONS 2011 5+1","Female","1.261253407","% of Total Age Group Population","25.92422987","% of Total Ethnic Group Population","65103","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Other","ONS 2011 5+1","Male","1.278260526","% of Total Age Group Population","22.15453917","% of Total Ethnic Group Population","69248","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Arab","ONS 2011 18+1","All","0.621988647","% of Total Age Group Population","28.53469211","% of Total Ethnic Group Population","65801","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Arab","ONS 2011 18+1","Female","0.611708774","% of Total Age Group Population","32.73479374","% of Total Ethnic Group Population","31575","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Arab","ONS 2011 18+1","Male","0.631783514","% of Total Age Group Population","25.51456282","% of Total Ethnic Group Population","34226","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Ethnic Background","ONS 2011 18+1","All","0.647973766","% of Total Age Group Population","20.57965271","% of Total Ethnic Group Population","68550","10579132"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Ethnic Background","ONS 2011 18+1","Female","0.649544633","% of Total Age Group Population","21.67697888","% of Total Ethnic Group Population","33528","5161770"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Below Working Age (0-15)","Any Other Ethnic Background","ONS 2011 18+1","Male","0.646477012","% of Total Age Group Population","19.6284153","% of Total Ethnic Group Population","35022","5417362"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","All","All","All","100","% of Total Age Group Population","16.44747748","% of Total Ethnic Group Population","9223073","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","All","All","Female","100","% of Total Age Group Population","17.98756433","% of Total Ethnic Group Population","5126912","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","All","All","Male","100","% of Total Age Group Population","14.85549321","% of Total Ethnic Group Population","4096161","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Asian","ONS 2011 5+1","All","2.594287175","% of Total Age Group Population","5.678681372","% of Total Ethnic Group Population","239273","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Asian","ONS 2011 5+1","Female","2.406887421","% of Total Age Group Population","5.894742172","% of Total Ethnic Group Population","123399","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Asian","ONS 2011 5+1","Male","2.828843886","% of Total Age Group Population","5.465349972","% of Total Ethnic Group Population","115874","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Bangladeshi","ONS 2011 18+1","All","0.17986413","% of Total Age Group Population","3.709517644","% of Total Ethnic Group Population","16589","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Bangladeshi","ONS 2011 18+1","Female","0.151416681","% of Total Age Group Population","3.588499052","% of Total Ethnic Group Population","7763","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Bangladeshi","ONS 2011 18+1","Male","0.215470046","% of Total Age Group Population","3.822914095","% of Total Ethnic Group Population","8826","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Chinese","ONS 2011 18+1","All","0.215058473","% of Total Age Group Population","5.045263659","% of Total Ethnic Group Population","19835","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Chinese","ONS 2011 18+1","Female","0.206713125","% of Total Age Group Population","5.117013418","% of Total Ethnic Group Population","10598","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Chinese","ONS 2011 18+1","Male","0.225503832","% of Total Age Group Population","4.965381555","% of Total Ethnic Group Population","9237","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Indian","ONS 2011 18+1","All","1.247794526","% of Total Age Group Population","8.144969631","% of Total Ethnic Group Population","115085","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Indian","ONS 2011 18+1","Female","1.174001036","% of Total Age Group Population","8.684949454","% of Total Ethnic Group Population","60190","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Indian","ONS 2011 18+1","Male","1.340157284","% of Total Age Group Population","7.625152795","% of Total Ethnic Group Population","54895","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Pakistani","ONS 2011 18+1","All","0.537011905","% of Total Age Group Population","4.404492264","% of Total Ethnic Group Population","49529","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Pakistani","ONS 2011 18+1","Female","0.467610913","% of Total Age Group Population","4.372455754","% of Total Ethnic Group Population","23974","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Pakistani","ONS 2011 18+1","Male","0.623876845","% of Total Age Group Population","4.434976528","% of Total Ethnic Group Population","25555","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Asian Background","ONS 2011 18+1","All","0.414558141","% of Total Age Group Population","4.575096922","% of Total Ethnic Group Population","38235","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Asian Background","ONS 2011 18+1","Female","0.407145666","% of Total Age Group Population","4.870309405","% of Total Ethnic Group Population","20874","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Asian Background","ONS 2011 18+1","Male","0.423835879","% of Total Age Group Population","4.264313242","% of Total Ethnic Group Population","17361","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black","ONS 2011 5+1","All","1.252836229","% of Total Age Group Population","6.196075908","% of Total Ethnic Group Population","115550","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black","ONS 2011 5+1","Female","1.229043916","% of Total Age Group Population","6.51832542","% of Total Ethnic Group Population","63012","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black","ONS 2011 5+1","Male","1.2826156","% of Total Age Group Population","5.849254064","% of Total Ethnic Group Population","52538","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black African","ONS 2011 18+1","All","0.259945899","% of Total Age Group Population","2.422627492","% of Total Ethnic Group Population","23975","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black African","ONS 2011 18+1","Female","0.260254126","% of Total Age Group Population","2.617152025","% of Total Ethnic Group Population","13343","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black African","ONS 2011 18+1","Male","0.25956011","% of Total Age Group Population","2.21592792","% of Total Ethnic Group Population","10632","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black Caribbean","ONS 2011 18+1","All","0.898138831","% of Total Age Group Population","13.92611272","% of Total Ethnic Group Population","82836","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black Caribbean","ONS 2011 18+1","Female","0.872572028","% of Total Age Group Population","14.07288101","% of Total Ethnic Group Population","44736","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Black Caribbean","ONS 2011 18+1","Male","0.930139221","% of Total Age Group Population","13.75764163","% of Total Ethnic Group Population","38100","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Black Background","ONS 2011 18+1","All","0.0947515","% of Total Age Group Population","3.116207918","% of Total Ethnic Group Population","8739","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Black Background","ONS 2011 18+1","Female","0.096217762","% of Total Age Group Population","3.549610356","% of Total Ethnic Group Population","4933","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Black Background","ONS 2011 18+1","Male","0.09291627","% of Total Age Group Population","2.690437143","% of Total Ethnic Group Population","3806","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed","ONS 2011 5+1","All","0.383548954","% of Total Age Group Population","2.889170206","% of Total Ethnic Group Population","35375","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed","ONS 2011 5+1","Female","0.365132072","% of Total Age Group Population","3.054496326","% of Total Ethnic Group Population","18720","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed","ONS 2011 5+1","Male","0.406600229","% of Total Age Group Population","2.723483442","% of Total Ethnic Group Population","16655","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Asian","ONS 2011 18+1","All","0.101690619","% of Total Age Group Population","2.744588517","% of Total Ethnic Group Population","9379","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Asian","ONS 2011 18+1","Female","0.094228261","% of Total Age Group Population","2.909522347","% of Total Ethnic Group Population","4831","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Asian","ONS 2011 18+1","Male","0.111030792","% of Total Age Group Population","2.588709402","% of Total Ethnic Group Population","4548","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black African","ONS 2011 18+1","All","0.033427037","% of Total Age Group Population","1.857519853","% of Total Ethnic Group Population","3083","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black African","ONS 2011 18+1","Female","0.033294896","% of Total Age Group Population","2.057146989","% of Total Ethnic Group Population","1707","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black African","ONS 2011 18+1","Male","0.03359243","% of Total Age Group Population","1.657931201","% of Total Ethnic Group Population","1376","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black Caribbean","ONS 2011 18+1","All","0.142501312","% of Total Age Group Population","3.080041714","% of Total Ethnic Group Population","13143","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black Caribbean","ONS 2011 18+1","Female","0.131287605","% of Total Age Group Population","3.129096741","% of Total Ethnic Group Population","6731","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Mixed White and Black Caribbean","ONS 2011 18+1","Male","0.156536816","% of Total Age Group Population","3.030174145","% of Total Ethnic Group Population","6412","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","All","0.105929987","% of Total Age Group Population","3.369151401","% of Total Ethnic Group Population","9770","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Female","0.10632131","% of Total Age Group Population","3.664858105","% of Total Ethnic Group Population","5451","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Mixed/Multiple Ethnic Background","ONS 2011 18+1","Male","0.105440191","% of Total Age Group Population","3.057764059","% of Total Ethnic Group Population","4319","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White","ONS 2011 5+1","All","95.48838007","% of Total Age Group Population","18.2681467","% of Total Ethnic Group Population","8806963","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White","ONS 2011 5+1","Female","95.74884453","% of Total Age Group Population","19.97259228","% of Total Ethnic Group Population","4908959","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White","ONS 2011 5+1","Male","95.16237277","% of Total Age Group Population","16.49535579","% of Total Ethnic Group Population","3898004","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White British","ONS 2011 18+1","All","91.99464213","% of Total Age Group Population","18.7986973","% of Total Ethnic Group Population","8484733","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White British","ONS 2011 18+1","Female","92.07142623","% of Total Age Group Population","20.55316702","% of Total Ethnic Group Population","4720421","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White British","ONS 2011 18+1","Male","91.89853621","% of Total Age Group Population","16.98098508","% of Total Ethnic Group Population","3764312","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White Irish","ONS 2011 18+1","All","1.769822271","% of Total Age Group Population","30.73545389","% of Total Ethnic Group Population","163232","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White Irish","ONS 2011 18+1","Female","1.822578581","% of Total Age Group Population","33.77503072","% of Total Ethnic Group Population","93442","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","White Irish","ONS 2011 18+1","Male","1.703790452","% of Total Age Group Population","27.43026487","% of Total Ethnic Group Population","69790","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Gypsy or Irish Traveller","ONS 2011 18+1","All","0.037178498","% of Total Age Group Population","5.944868239","% of Total Ethnic Group Population","3429","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Gypsy or Irish Traveller","ONS 2011 18+1","Female","0.034036083","% of Total Age Group Population","5.999862467","% of Total Ethnic Group Population","1745","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Gypsy or Irish Traveller","ONS 2011 18+1","Male","0.041111665","% of Total Age Group Population","5.888935515","% of Total Ethnic Group Population","1684","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other White Background","ONS 2011 18+1","All","1.686737165","% of Total Age Group Population","6.257949703","% of Total Ethnic Group Population","155569","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other White Background","ONS 2011 18+1","Female","1.820803634","% of Total Age Group Population","7.14865521","% of Total Ethnic Group Population","93351","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other White Background","ONS 2011 18+1","Male","1.518934436","% of Total Age Group Population","5.272318675","% of Total Ethnic Group Population","62218","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Other","ONS 2011 5+1","All","0.280947576","% of Total Age Group Population","4.596803951","% of Total Ethnic Group Population","25912","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Other","ONS 2011 5+1","Female","0.250092063","% of Total Age Group Population","5.105762798","% of Total Ethnic Group Population","12822","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Other","ONS 2011 5+1","Male","0.319567517","% of Total Age Group Population","4.187888715","% of Total Ethnic Group Population","13090","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Arab","ONS 2011 18+1","All","0.085123472","% of Total Age Group Population","3.404596704","% of Total Ethnic Group Population","7851","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Arab","ONS 2011 18+1","Female","0.061850096","% of Total Age Group Population","3.287475248","% of Total Ethnic Group Population","3171","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Arab","ONS 2011 18+1","Male","0.114253322","% of Total Age Group Population","3.488814176","% of Total Ethnic Group Population","4680","4096161"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Ethnic Background","ONS 2011 18+1","All","0.195824103","% of Total Age Group Population","5.422160578","% of Total Ethnic Group Population","18061","9223073"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Ethnic Background","ONS 2011 18+1","Female","0.188241967","% of Total Age Group Population","6.239695871","% of Total Ethnic Group Population","9651","5126912"
"Percent of Working Age Population in England and Wales","2011","Census 2011","All - England and Wales","National","K04000001","Above Working Age (65+)","Any Other Ethnic Background","ONS 2011 18+1","Male","0.205314195","% of Total Age Group Population","4.713465041","% of Total Ethnic Group Population","8410","4096161"
